Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,Geolocation,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2018,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,79.4,79.4,,,78.5,80.3,"13,855","17,468,721",Disability Status,No Disability,,,DISEST,AGEIND,,83,AGE01,PREV,DISSTAT,NODIS,,
2018,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,10.0,10.0,,,9.4,10.7,"2,627","1,671,062",Disability Type,Independent Living Disability,,,DISEST,AGEIND,,83,AGE02,PREV,DISTYPE,INDDIS,,
2018,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,2.0,2.0,,,1.8,2.4,303,"90,167",Disability Type,Hearing Disability,,,DISEST,AGEIND,,87,AGE01,PREV,DISTYPE,HEARDIS,,
2018,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,42.2,42.2,,,40.4,44.0,"2,194","1,200,317",Disability Status,Any Disability,,,DISEST,RACEIND,,72,RACE03,AGEADJPREV,DISSTAT,DISABL,,
2018,HHS10,HHS Region 10,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,3.7,3.7,,,3.3,4.1,516,"202,219",Disability Type,Vision Disability,,,DISEST,SEXIND,,89,SEX01,AGEADJPREV,DISTYPE,VISDIS,,
2018,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,26.8,26.8,,,25.7,28.0,"4,819","2,122,619",Disability Status,Any Disability,,,DISEST,AGEIND,,82,AGE02,PREV,DISSTAT,DISABL,,
2018,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,24.4,24.4,,,22.0,26.9,422,"214,109",Disability Type,Vision Disability,,,DISEST,AGEIND,,72,AGE02,PREV,DISTYPE,VISDIS,,
2018,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,10.3,10.3,,,9.5,11.2,"1,859","1,145,911",Disability Type,Cognitive Disability,,,DISEST,SEXIND,,82,SEX01,AGEADJPREV,DISTYPE,COGDIS,,
2018,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,10.6,10.6,,,8.5,13.0,152,"28,042",Disability Type,Cognitive Disability,,,DISEST,SEXIND,"(64.84507995700051, -147.72205903599973)",02,SEX02,AGEADJPREV,DISTYPE,COGDIS,,
2018,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,"(31.827240407000488, -99.42677020599967)",48,RACE07,AGEADJPREV,DISTYPE,VISDIS,,
2018,IL,Illinois,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,8.5,8.5,,,6.9,10.4,151,"271,497",Disability Type,Cognitive Disability,,,DISEST,AGEIND,"(40.48501028300046, -88.99771017799969)",17,AGE02,PREV,DISTYPE,COGDIS,,
2018,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,No Disability,,,DISEST,RACEIND,"(38.66551020200046, -80.71264013499967)",54,RACE03,AGEADJPREV,DISSTAT,NODIS,,
2018,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,2.6,2.6,,,1.9,3.5,74,"10,134",Disability Type,Self-care Disability,,,DISEST,RACEIND,"(64.84507995700051, -147.72205903599973)",02,RACE01,AGEADJPREV,DISTYPE,SELFDIS,,
2018,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,82.8,82.8,,,77.7,86.9,187,"13,445",Disability Status,No Disability,,,DISEST,VETIND,,66,VET1,AGEADJPREV,DISSTAT,NODIS,,
2018,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,6.5,6.5,,,5.1,8.2,91,"9,088",Disability Type,Independent Living Disability,,,DISEST,AGEIND,"(43.23554134300048, -108.10983035299967)",56,AGE02,PREV,DISTYPE,INDDIS,,
2018,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,3.6,3.6,,,2.5,5.2,75,"129,003",Disability Type,Vision Disability,,,DISEST,SEXIND,"(40.13057004800049, -74.27369128799967)",34,SEX01,AGEADJPREV,DISTYPE,VISDIS,,
2018,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,Any Disability,,,DISEST,RACEIND,,72,RACE07,AGEADJPREV,DISSTAT,DISABL,,
2018,HHS1,HHS Region 1,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,8.0,8.0,,,7.2,9.0,"1,249","206,005",Disability Type,Cognitive Disability,,,DISEST,AGEIND,,80,AGE03,PREV,DISTYPE,COGDIS,,
2018,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,7.1,7.1,,,5.2,9.6,98,"24,971",Disability Type,Hearing Disability,,,DISEST,RACEIND,,82,RACE04,AGEADJPREV,DISTYPE,HEARDIS,,
2018,HHS3,HHS Region 3,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,70.8,70.8,,,66.8,74.5,"1,661","1,247,925",Disability Status,No Disability,,,DISEST,RACEIND,,82,RACE03,AGEADJPREV,DISSTAT,NODIS,,
2018,WV,West Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,19.7,19.7,,,14.6,26.1,178,"44,687",Disability Type,Hearing Disability,,,DISEST,VETIND,"(38.66551020200046, -80.71264013499967)",54,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2018,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,18.8,18.8,,,15.7,22.3,207,"92,556",Disability Type,Cognitive Disability,,,DISEST,RACEIND,,84,RACE04,AGEADJPREV,DISTYPE,COGDIS,,
2018,DE,Delaware,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,8.3,8.3,,,6.9,9.8,223,"29,875",Disability Type,Cognitive Disability,,,DISEST,SEXIND,"(39.008830667000495, -75.57774116799965)",10,SEX01,AGEADJPREV,DISTYPE,COGDIS,,
2018,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,3.1,3.1,,,2.3,4.1,72,"7,104",Disability Type,Self-care Disability,,,DISEST,SEXIND,"(43.23554134300048, -108.10983035299967)",56,SEX01,AGEADJPREV,DISTYPE,SELFDIS,,
2018,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,23.3,23.3,,,20.6,26.3,334,"37,769",Disability Status,Any Disability,,,DISEST,RACEIND,"(21.304850435000446, -157.85774940299973)",15,RACE04,AGEADJPREV,DISSTAT,DISABL,,
2018,ID,Idaho,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,9.2,9.2,,,7.5,11.2,135,"25,224",Disability Type,Cognitive Disability,,,DISEST,AGEIND,"(43.682630005000476, -114.3637300419997)",16,AGE03,PREV,DISTYPE,COGDIS,,
2018,OH,Ohio,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,3.3,3.3,,,2.7,4.0,239,"153,338",Disability Type,Self-care Disability,,,DISEST,SEXIND,"(40.06021014100048, -82.40426005599966)",39,SEX01,AGEADJPREV,DISTYPE,SELFDIS,,
2018,IA,Iowa,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,4.1,4.1,,,3.3,5.1,105,"21,732",Disability Type,Self-care Disability,,,DISEST,AGEIND,"(42.46940091300047, -93.81649055599968)",19,AGE03,PREV,DISTYPE,SELFDIS,,
2018,ND,North Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,11.3,11.3,,,8.6,14.7,160,"11,190",Disability Type,Hearing Disability,,,DISEST,VETIND,"(47.47531977900047, -100.11842104899966)",38,VET1,AGEADJPREV,DISTYPE,HEARDIS,,
2018,DC,District of Columbia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Mobility Disability,,,DISEST,RACEIND,"(38.89037138500049, -77.03196112699965)",11,RACE06,AGEADJPREV,DISTYPE,MOBDIS,,
2018,IL,Illinois,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,"(40.48501028300046, -88.99771017799969)",17,RACE04,AGEADJPREV,DISTYPE,VISDIS,,
2018,RI,Rhode Island,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,39.1,39.1,,,36.4,41.9,738,"70,067",Disability Status,Any Disability,,,DISEST,AGEIND,"(41.70828019300046, -71.52247031399963)",44,AGE03,PREV,DISSTAT,DISABL,,
2018,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,29.8,29.8,,,28.3,31.5,"1,800","3,285,918",Disability Status,Any Disability,,,DISEST,RACEIND,,88,RACE03,AGEADJPREV,DISSTAT,DISABL,,
2018,NJ,New Jersey,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,10.4,10.4,,,7.0,15.1,70,"149,593",Disability Type,Cognitive Disability,,,DISEST,AGEIND,"(40.13057004800049, -74.27369128799967)",34,AGE03,PREV,DISTYPE,COGDIS,,
2018,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,"(31.31266064400046, -92.44568007099969)",22,RACE07,AGEADJPREV,DISTYPE,VISDIS,,
2018,LA,Louisiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,32.6,32.6,,,30.0,35.4,738,"544,370",Disability Status,Any Disability,,,DISEST,SEXIND,"(31.31266064400046, -92.44568007099969)",22,SEX01,AGEADJPREV,DISSTAT,DISABL,,
2018,HHS6,HHS Region 6,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,27.9,27.9,,,26.4,29.5,"6,764","4,538,003",Disability Status,Any Disability,,,DISEST,SEXIND,,85,SEX02,AGEADJPREV,DISSTAT,DISABL,,
2018,WI,Wisconsin,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,4.8,4.8,,,4.1,5.5,300,"223,204",Disability Type,Hearing Disability,,,DISEST,RACEIND,"(44.39319117400049, -89.81637074199966)",55,RACE01,AGEADJPREV,DISTYPE,HEARDIS,,
2018,IA,Iowa,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,20.3,20.3,,,19.3,21.3,"1,995","458,490",Disability Status,Any Disability,,,DISEST,RACEIND,"(42.46940091300047, -93.81649055599968)",19,RACE01,AGEADJPREV,DISSTAT,DISABL,,
2018,FL,Florida,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,7.8,7.8,,,6.3,9.6,435,"419,565",Disability Type,Hearing Disability,,,DISEST,AGEIND,"(28.932040377000476, -81.92896053899966)",12,AGE02,PREV,DISTYPE,HEARDIS,,
2018,NH,New Hampshire,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,DISEST,VETIND,"(43.65595011300047, -71.50036091999965)",33,VET1,AGEADJPREV,DISTYPE,VISDIS,,
2018,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,4.6,4.6,,,3.5,6.0,157,"477,972",Disability Type,Vision Disability,,,DISEST,AGEIND,"(31.827240407000488, -99.42677020599967)",48,AGE01,PREV,DISTYPE,VISDIS,,
2018,MO,Missouri,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,10.1,10.1,,,8.8,11.6,405,"254,603",Disability Type,Hearing Disability,,,DISEST,SEXIND,"(38.635790776000476, -92.56630005299968)",29,SEX01,AGEADJPREV,DISTYPE,HEARDIS,,
2018,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"White, non-Hispanic",%,Age-adjusted Prevalence,3.4,3.4,,,2.5,4.6,93,"48,508",Disability Type,Self-care Disability,,,DISEST,RACEIND,"(39.493240390000494, -117.07184056399967)",32,RACE01,AGEADJPREV,DISTYPE,SELFDIS,,
2018,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,75.7,75.7,,,60.7,86.3,50,"26,110",Disability Status,No Disability,,,DISEST,RACEIND,"(64.84507995700051, -147.72205903599973)",02,RACE05,AGEADJPREV,DISSTAT,NODIS,,
2018,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,4.9,4.9,,,3.4,7.2,38,"20,727",Disability Type,Hearing Disability,,,DISEST,RACEIND,"(39.766910452000445, -86.14996019399968)",18,RACE02,AGEADJPREV,DISTYPE,HEARDIS,,
2018,SD,South Dakota,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Independent Living Disability,,,DISEST,RACEIND,"(44.353130053000484, -100.3735306369997)",46,RACE04,AGEADJPREV,DISTYPE,INDDIS,,
2018,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,25.4,25.4,,,22.7,28.4,"1,467","1,133,134",Disability Status,Any Disability,,,DISEST,VETIND,,88,VET1,AGEADJPREV,DISSTAT,DISABL,,
2018,HI,Hawaii,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,86.0,86.0,,,84.0,87.7,"2,058","412,876",Disability Status,No Disability,,,DISEST,AGEIND,"(21.304850435000446, -157.85774940299973)",15,AGE01,PREV,DISSTAT,NODIS,,
2018,TN,Tennessee,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Independent Living Disability,,,DISEST,RACEIND,"(35.68094058000048, -85.77449091399967)",47,RACE07,AGEADJPREV,DISTYPE,INDDIS,,
2018,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,2.7,2.7,,,1.5,5.0,13,"13,987",Disability Type,Self-care Disability,,,DISEST,RACEIND,"(39.493240390000494, -117.07184056399967)",32,RACE03,AGEADJPREV,DISTYPE,SELFDIS,,
2018,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Independent Living Disability,,,DISEST,RACEIND,"(47.06652897200047, -109.42442064499971)",30,RACE02,AGEADJPREV,DISTYPE,INDDIS,,
2018,NE,Nebraska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,14.0,14.0,,,7.8,23.8,17,"3,231",Disability Type,Hearing Disability,,,DISEST,RACEIND,"(41.6410409880005, -99.36572062299967)",31,RACE04,AGEADJPREV,DISTYPE,HEARDIS,,
2018,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Hearing Disability,,,DISEST,RACEIND,"(31.827240407000488, -99.42677020599967)",48,RACE06,AGEADJPREV,DISTYPE,HEARDIS,,
2018,CA,California,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,26.5,26.5,,,17.7,37.6,28,"37,046",Disability Type,Mobility Disability,,,DISEST,RACEIND,"(37.63864012300047, -120.99999953799971)",06,RACE07,AGEADJPREV,DISTYPE,MOBDIS,,
2018,HHS5,HHS Region 5,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,5.3,5.3,,,4.8,5.8,876,"934,385",Disability Type,Independent Living Disability,,,DISEST,AGEIND,,84,AGE01,PREV,DISTYPE,INDDIS,,
2018,PA,Pennsylvania,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,Any Disability,,,DISEST,RACEIND,"(40.79373015200048, -77.86070029399963)",42,RACE07,AGEADJPREV,DISSTAT,DISABL,,
2018,NV,Nevada,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"American Indian or Alaska Native, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,No Disability,,,DISEST,RACEIND,"(39.493240390000494, -117.07184056399967)",32,RACE07,AGEADJPREV,DISSTAT,NODIS,,
2018,VT,Vermont,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Status,No Disability,,,DISEST,RACEIND,"(43.62538123900049, -72.51764079099962)",50,RACE02,AGEADJPREV,DISSTAT,NODIS,,
2018,PA,Pennsylvania,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,"(40.79373015200048, -77.86070029399963)",42,RACE05,AGEADJPREV,DISTYPE,VISDIS,,
2018,KY,Kentucky,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Vision Disability,,,DISEST,RACEIND,"(37.645970271000465, -84.77497104799966)",21,RACE05,AGEADJPREV,DISTYPE,VISDIS,,
2018,UT,Utah,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,6.8,6.8,,,5.9,7.7,366,"73,746",Disability Type,Independent Living Disability,,,DISEST,SEXIND,"(39.360700171000474, -111.58713063499971)",49,SEX02,AGEADJPREV,DISTYPE,INDDIS,,
2018,OK,Oklahoma,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed. Estimates were suppressed if the standard error was greater than or equal to 30% of the estimate or if the unweighted total population was less than 50.,,,,,Disability Type,Independent Living Disability,,,DISEST,RACEIND,"(35.47203135600046, -97.52107021399968)",40,RACE06,AGEADJPREV,DISTYPE,INDDIS,,
2018,VT,Vermont,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,1.4,1.4,,,0.8,2.3,22,"2,797",Disability Type,Self-care Disability,,,DISEST,AGEIND,"(43.62538123900049, -72.51764079099962)",50,AGE01,PREV,DISTYPE,SELFDIS,,
2018,GA,Georgia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Male,%,Age-adjusted Prevalence,26.2,26.2,,,24.6,27.8,"1,148","972,394",Disability Status,Any Disability,,,DISEST,SEXIND,"(32.83968109300048, -83.62758034599966)",13,SEX01,AGEADJPREV,DISSTAT,DISABL,,
2018,US,"United States, DC & Territories",BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,74.3,74.3,,,74.0,74.6,"258,984","161,428,302",Disability Status,No Disability,,,DISEST,VETIND,,59,VET2,AGEADJPREV,DISSTAT,NODIS,,
